rowID,hpwren_timestamp,air_pressure,air_temp,avg_wind_direction,avg_wind_speed,max_wind_direction,max_wind_speed,min_wind_direction,min_wind_speed,rain_accumulation,rain_duration,relative_humidity
0,2011-09-10,912.3,64.76,97,1.2,106,1.6,85,1,,,60.5
1,2011-09-11,912.3,63.86,161,0.8,215,1.5,43,0.2,0,0,39.9
2,2011-09-12,912.3,64.22,77,0.7,143,1.2,324,0.3,0,0,43
3,2011-09-13,912.3,64.4,89,1.2,112,1.6,12,0.7,0,0,49.5
4,2011-09-14,912.3,64.4,185,0.4,260,1,100,0.1,0,0,58.8
5,2011-09-15,912.3,63.5,76,2.5,92,3,61,2,0,0,62.6
6,2011-09-16,912.3,62.78,79,2.4,89,2.7,62,2,0,0,65.6
7,2011-09-17,912.3,62.42,86,2,92,2.4,75,1.8,0,0,65.2
8,2011-09-18,912.3,62.24,105,1.4,125,1.9,82,1,0,0,65.8
9,2011-09-19,912.3,62.24,93,0.4,126,0.7,14,0.2,0,0,58.6
10,2011-09-20,912.3,62.24,144,1.2,167,1.8,115,0.6,0,0,38.5
